famille_metier_axa,sous_famille_metier,intitule_poste,missions_types,competences_techniques,soft_skills,questions_clarification,mots_cles,niveau_experience_typique,type_contrat_frequent
Commercial Salarié,Développement commercial,Conseiller Commercial Épargne et Protection,"Développer un portefeuille clients; Organiser son activité commerciale; Réaliser des diagnostics patrimoniaux; Proposer des solutions adaptées; Fidéliser les clients","Produits d’assurance; Épargne; Protection sociale; Vente; Diagnostic client; Gestion de portefeuille","Dynamisme; Autonomie; Sens du relationnel; Goût du challenge; Négociation","Le poste est-il orienté conquête ou fidélisation ?; Quels produits sont prioritaires (épargne, prévoyance…) ?; Quel niveau d’autonomie commerciale est attendu ?","commercial; épargne; protection; client; portefeuille; vente; assurance",Junior à Confirmé,CDI
Commercial Salarié,Animation réseau,Chargé de développement agence,"Développer le business des agences; Coacher les collaborateurs; Animer la démarche commerciale; Développer les compétences; Accompagner la transformation des agences","Assurance; Produits bancaires; Coaching commercial; Animation réseau; Data client; Expérience client","Leadership; Pédagogie; Énergie; Esprit d’équipe; Capacité à influencer","Le rôle est-il davantage coaching ou développement business ?; Quelle taille de réseau est pilotée ?; Quels produits sont au cœur de la stratégie ?","développement agence; coaching; réseau; assurance; commercial; transformation",Confirmé,CDI
Commercial Salarié,Gestion de patrimoine,Conseiller en Gestion de Fortune,"Accompagner des clients fortunés; Proposer des solutions patrimoniales; Développer de nouveaux clients; Gérer une relation long terme; Travailler avec les réseaux AXA","Gestion de patrimoine; Marchés financiers; Fiscalité; Juridique; Allocation d’actifs","Excellent relationnel; Rigueur; Discrétion; Capacité d’analyse; Sens du conseil","Le poste concerne-t-il une clientèle très haut de gamme ?; Quelle part est dédiée à la conquête vs gestion ?; Quels produits patrimoniaux sont proposés ?","fortune; patrimoine; finance; client haut de gamme; allocation; fiscalité",Confirmé à Senior,CDI
Commercial Salarié,Management commercial,Inspecteur Manager Commercial,"Recruter des agents généraux; Accompagner leur développement; Piloter la performance; Suivre les indicateurs; Déployer la stratégie AXA","Management; Pilotage KPI; Stratégie commerciale; Animation réseau; Recrutement","Leadership; Motivation; Organisation; Esprit stratégique; Communication","Le poste inclut-il du management direct ?; Quels objectifs commerciaux sont fixés ?; Quelle zone géographique est couverte ?","manager commercial; inspecteur; réseau; agents; performance; stratégie",Confirmé à Senior,CDI
Commercial Salarié,Support agence,Collaborateur d’Agence,"Gérer la relation client; Développer le portefeuille; Assurer le suivi administratif; Accompagner les clients; Participer à la gestion des sinistres","Produits assurance; Gestion contrat; Relation client; Outils bureautiques","Organisation; Rigueur; Polyvalence; Relationnel; Réactivité","Le poste est-il orienté commercial ou gestion ?; Quelle part de relation client ?; Y a-t-il une spécialisation produit ?","agence; assurance; client; gestion; commercial; sinistre",Junior à Confirmé,CDI
Commercial Salarié,Clientèle premium,Chargé d'affaires,"Développer une clientèle haut de gamme; Mettre en place des solutions patrimoniales; Accompagner les projets clients; Travailler avec les réseaux AXA","Gestion privée; Finance; Fiscalité; Marchés financiers; Produits haut de gamme","Relationnel; Négociation; Expertise; Sens du conseil; Rigueur","Le poste cible-t-il des chefs d’entreprise ou particuliers ?; Quels produits sont proposés ?; Quel niveau d’expertise est attendu ?","chargé d'affaires; patrimoine; clients premium; finance; conseil",Senior,CDI
Commercial Salarié,Banque,Conseiller Bancaire,"Gérer la relation client; Réaliser des opérations bancaires; Développer les ventes; Conseiller les clients; Suivre les dossiers","Produits bancaires; Vente; Relation client; Analyse besoin","Relationnel; Dynamisme; Sens commercial; Organisation","Le poste est-il orienté vente ou support ?; Quels produits bancaires sont ciblés ?; Quel volume client est attendu ?","banque; conseiller; client; produits bancaires; vente",Junior à Confirmé,CDI
Commercial Entrepreneur,Entrepreneuriat,Agent Général d'Assurance,"Définir une stratégie commerciale; Développer un portefeuille; Manager une équipe; Conseiller les clients; Développer une agence","Assurance; Gestion entreprise; Vente; Développement commercial","Esprit entrepreneurial; Leadership; Autonomie; Relationnel; Organisation","Le poste implique-t-il la gestion d’une équipe ?; Quelle autonomie sur la stratégie ?; Quel type de clients ?","agent général; assurance; entrepreneuriat; portefeuille; agence",Confirmé à Senior,Indépendant
Commercial Entrepreneur,Patrimoine,Agent Général AXA Prévoyance & Patrimoine,"Développer un portefeuille clients; Analyser les besoins patrimoniaux; Proposer des solutions; Fidéliser sur le long terme","Patrimoine; Épargne; Retraite; Fiscalité; Assurance","Relationnel; Esprit de conquête; Analyse; Conviction","Le poste est-il orienté création de portefeuille ?; Quels produits sont prioritaires ?; Quelle cible client ?","prévoyance; patrimoine; agent; client; portefeuille",Confirmé,Indépendant
Commercial Entrepreneur,B2B,Agent Général Assurances Collectives,"Développer un portefeuille entreprises; Proposer des solutions collectives; Fidéliser; Analyser les besoins B2B","Assurances collectives; B2B; Santé; Prévoyance; Épargne salariale","Négociation; Relationnel; Esprit commercial; Analyse","Le poste cible-t-il PME ou grands comptes ?; Quels produits collectifs ?; Quelle autonomie ?","assurances collectives; B2B; entreprise; commercial",Confirmé,Indépendant
Commercial Entrepreneur,Réseau,Mandataire Assurance Épargne et Protection,"Identifier les besoins clients; Sensibiliser à la protection; Mettre en relation avec experts; Développer un réseau","Produits assurance; Réseau; Relation client","Aisance relationnelle; Écoute; Développement réseau","Le rôle est-il complémentaire ou principal ?; Quelle autonomie ?; Quelle cible client ?","mandataire; assurance; réseau; client; épargne",Débutant à Confirmé,Indépendant
Finance,Audit interne,Auditeur interne,"Analyser les processus; Évaluer les risques; Réaliser des audits; Proposer des recommandations; Suivre les plans d’actions","Audit interne; Contrôle interne; Gestion des risques; Analyse process","Rigueur; Esprit d’analyse; Diplomatie; Communication; Synthèse","Quel périmètre est audité ?; Quels types de risques sont prioritaires ?; Le poste inclut-il des missions internationales ?","audit; contrôle interne; risque; conformité; process",Confirmé à Senior,CDI
Finance,Comptabilité,Comptable Assurance,"Produire des reportings; Participer aux clôtures; Analyser les comptes; Assurer la fiabilité financière; Participer aux projets","Comptabilité; Normes IFRS; Consolidation; Reporting financier","Rigueur; Organisation; Analyse; Adaptabilité; Communication","Le poste est-il orienté production ou analyse ?; Quelles normes sont utilisées ?; Y a-t-il une dimension internationale ?","comptabilité; IFRS; reporting; consolidation; finance",Junior à Confirmé,CDI
Finance,Contrôle de gestion,Contrôleur de gestion,"Piloter la performance; Élaborer le budget; Analyser les écarts; Produire des reportings; Participer aux projets","Contrôle de gestion; Budget; Analyse financière; Excel","Analyse; Rigueur; Autonomie; Esprit d’équipe; Communication","Le poste est-il technique ou orienté business ?; Quel périmètre est piloté ?; Quels outils sont utilisés ?","contrôle de gestion; budget; performance; reporting; finance",Confirmé,CDI
Finance,Contrôle interne,Contrôleur interne,"Évaluer les dispositifs de contrôle; Vérifier la conformité; Suivre les plans de remédiation; Coordonner avec régulateurs","Contrôle interne; Réglementation; Gestion des risques; Conformité","Rigueur; Organisation; Diplomatie; Analyse; Communication","Quelles réglementations sont concernées ?; Quel périmètre de contrôle ?; Y a-t-il une relation avec l’ACPR ?","contrôle interne; conformité; réglementation; audit; risques",Confirmé à Senior,CDI
Finance,Risk management,Risk manager,"Identifier les risques; Construire la cartographie; Déployer les plans de prévention; Animer les ateliers; Reporter au comité","Gestion des risques; Cartographie; Normes; Reporting; Analyse financière","Vision; Anticipation; Analyse; Synthèse; Communication","Quels types de risques sont prioritaires ?; Le poste couvre-t-il IT, finance ou opérationnel ?; Quel niveau de reporting ?","risk manager; risques; cartographie; prévention; finance",Senior,CDI
Gestion d'actifs,Analyse financière,Analyste Gestion d'Actifs,"Élaborer des notes stratégiques pour les organes de décision; Analyser les aspects juridiques des actifs; Assurer le suivi budgétaire et les reportings; Analyser les écarts vs budget; Modéliser des stratégies d’investissement","Modélisation financière; Analyse financière; Comptabilité; Excel; VBA; Analyse juridique; Reporting","Rigueur; Esprit d’analyse; Capacité de synthèse; Organisation; Prise d’initiative","Le poste est-il orienté analyse financière pure ou pilotage d’actifs ?; Quels types d’actifs sont concernés ?; Quel niveau de modélisation financière est attendu ?","gestion d'actifs; analyste; modélisation; finance; reporting; budget; actifs",Junior à Confirmé,CDI
Gestion d'actifs,Distribution / Commercial,Sales Manager Asset Management,"Gérer un portefeuille clients et prospects; Développer de nouveaux segments; Proposer des solutions adaptées; Collaborer avec les équipes internes; Développer les parts de marché; Assurer l’interface entre marchés financiers et clients","Produits financiers; Gestion de portefeuille client; Développement commercial; Marchés financiers; Relation client; Stratégie commerciale","Aisance relationnelle; Résistance au stress; Capacité commerciale; Dynamisme; Esprit d’équipe","Le poste est-il orienté acquisition ou gestion de portefeuille ?; Quels produits financiers sont proposés ?; Quel niveau d’interaction avec les équipes internes est attendu ?","asset management; sales; commercial; clients; marchés financiers; portefeuille; prospection",Confirmé à Senior,CDI
Gestion d'actifs,Gestion de portefeuille,Gérant de portefeuille,"Analyser les besoins des investisseurs; Définir des stratégies d’investissement; Gérer des portefeuilles selon le profil de risque; Assurer la relation client long terme; Participer au processus d’investissement; Collaborer avec les équipes internes","Gestion de portefeuille; Marchés financiers; Analyse financière; Allocation d’actifs; Gestion du risque; Stratégie d’investissement","Résistance au stress; Esprit d’analyse; Sens du risque; Relationnel; Prise de décision; Rigueur","Quel type de portefeuille est géré (institutionnel, retail, etc.) ?; Quel niveau d’autonomie sur les décisions d’investissement ?; Quelle est la stratégie d’investissement dominante ?","gérant portefeuille; investissement; marchés financiers; allocation; risque; client; finance",Confirmé à Expert,CDI
Juridique / Audit / Conformité,Juridique assurance,Juriste conseil en assurances,"Sécuriser les offres; Gérer les contentieux; Valider documents contractuels; Suivre les réclamations","Droit des assurances; Contentieux; Analyse contractuelle","Rigueur; Pédagogie; Conviction; Adaptabilité; Communication","Quel type de produits assurance ?; Quelle exposition au contentieux ?; Interaction avec quelles équipes ?","juriste; assurance; contentieux; juridique; conformité",Confirmé,CDI
Juridique / Audit / Conformité,Conformité,Responsable conformité,"Gérer la cartographie des risques; Suivre les réglementations; Traiter les alertes LCB-FT; Assurer conformité des dossiers","Conformité; LCB-FT; Réglementation; Reporting","Éthique; Analyse; Rigueur; Confidentialité; Rédaction","Quels risques réglementaires ?; Interaction avec ACPR ?; Niveau de reporting attendu ?","conformité; LCB-FT; réglementation; risques; compliance",Confirmé à Senior,CDI
Juridique / Audit / Conformité,Audit interne,Auditeur interne,"Analyser les processus; Évaluer les risques; Réaliser des audits; Proposer recommandations; Suivre plans d’actions","Audit interne; Contrôle interne; Gestion des risques","Analyse; Synthèse; Communication; Diplomatie; Rigueur","Quel périmètre audité ?; Missions internationales ?; Type de risques évalués ?","audit; contrôle interne; risques; conformité",Confirmé à Senior,CDI
Juridique / Audit / Conformité,Contrôle interne,Contrôleur interne,"Évaluer dispositifs de contrôle; Vérifier conformité; Coordonner avec régulateurs; Suivre remédiation","Contrôle interne; Réglementation; Gestion des risques","Rigueur; Organisation; Analyse; Diplomatie; Communication","Quel périmètre métier ?; Interaction avec ACPR ?; Niveau de responsabilité ?","contrôle interne; conformité; réglementation; audit; risques",Confirmé à Senior,CDI
Marketing / Communication / RSE,Marketing,Responsable marketing,"Développer l’offre; Piloter campagnes; Analyser marché; Gérer CRM; Suivre performance marketing","Marketing digital; CRM; Analyse data; Gestion campagnes","Analyse; Communication; Créativité; Esprit business; Travail équipe","Le poste est-il orienté acquisition ou fidélisation ?; Quels canaux marketing ?; Objectifs business ?","marketing; CRM; acquisition; campagne; digital",Confirmé,CDI
Marketing / Communication / RSE,Marketing digital,Responsable marketing digital,"Gérer campagnes digitales; Optimiser trafic; Analyser performance; Piloter acquisition","SEO; SEA; Analytics; Marketing digital","Analyse; Innovation; Créativité; Data-driven","Quels canaux digitaux ?; Volume trafic ?; KPI principaux ?","marketing digital; SEO; SEA; acquisition; data",Confirmé,CDI
Marketing / Communication / RSE,Communication,Responsable communication,"Piloter communication interne/externe; Gérer image de marque; Déployer stratégie communication","Communication; Branding; Relations publiques","Rédaction; Créativité; Relationnel; Synthèse","Communication interne ou externe ?; Cible principale ?; Objectifs image ?","communication; marque; image; RP; réputation",Confirmé à Senior,CDI
Marketing / Communication / RSE,RSE,Responsable RSE,"Déployer stratégie RSE; Piloter projets ESG; Collaborer parties prenantes; Suivre impact sociétal","RSE; ESG; Réglementation; Reporting extra-financier","Vision; Engagement; Analyse; Communication","Quels enjeux ESG ?; Périmètre international ?; Reporting attendu ?","RSE; ESG; durabilité; environnement; social",Confirmé à Senior,CDI
Marketing / Communication / RSE,Communication digitale,Chargé de communication digitale,"Gérer réseaux sociaux; Produire contenus; Suivre engagement; Animer communautés","Social media; Content marketing; Analytics","Créativité; Réactivité; Communication; Organisation","Quels réseaux sociaux ?; Fréquence publication ?; Objectifs engagement ?","réseaux sociaux; contenu; digital; communication",Junior à Confirmé,CDI
Ressources Humaines,Recrutement / Talent acquisition,Chargé de recrutement,"Définir stratégie d’attraction; Sourcer candidats; Conduire entretiens; Gérer intégration","Recrutement; Sourcing; Marque employeur; ATS","Relationnel; Écoute; Organisation; Adaptabilité; Communication","Quel volume de recrutements ?; Quels profils ciblés ?; Utilisation d’outils ATS ?","recrutement; sourcing; talents; RH; entretien",Junior à Confirmé,CDI
Ressources Humaines,Développement RH,Responsable développement RH,"Déployer programmes de formation; Gérer carrières; Piloter mobilités; Développer compétences","GPEC; Formation; Gestion des talents; Mobilité","Vision stratégique; Analyse; Communication; Adaptabilité","Quels dispositifs de formation ?; Gestion internationale ?; Périmètre collaborateurs ?","développement RH; formation; talent management; mobilité",Confirmé à Senior,CDI
Ressources Humaines,Administration RH,Gestionnaire RH,"Gérer contrats; Suivre dossiers administratifs; Assurer conformité RH; Gérer paie et données","Administration RH; Droit social; Paie; SIRH","Rigueur; Organisation; Confidentialité; Fiabilité","Quel volume de dossiers ?; Gestion paie incluse ?; Outils SIRH utilisés ?","administration RH; paie; contrats; SIRH; gestion RH",Junior à Confirmé,CDI
Ressources Humaines,Relations sociales,Responsable relations sociales,"Gérer dialogue social; Négocier accords; Assurer conformité légale; Interagir avec partenaires sociaux","Droit social; Relations sociales; Négociation","Diplomatie; Communication; Conviction; Gestion conflits","Présence d’instances représentatives ?; Contexte social ?; Niveau de négociation ?","relations sociales; dialogue social; syndicats; droit social",Senior,CDI
Ressources Humaines,Compensation & Benefits,Responsable rémunération,"Analyser rémunérations; Définir politiques salariales; Gérer avantages sociaux; Assurer compétitivité","Compensation; Benchmark salarial; Analyse financière RH","Analyse; Rigueur; Discrétion; Esprit stratégique","Périmètre international ?; Types d’avantages ?; Benchmark marché ?","rémunération; avantages; compensation; benefits",Confirmé à Senior,CDI
Ressources Humaines,Transformation RH,Chef de projet RH,"Piloter projets RH; Déployer transformations; Accompagner changement; Suivre performance","Gestion de projet; Conduite du changement; RH digitale","Adaptabilité; Leadership; Organisation; Communication","Quel type de transformation ?; Outils digitaux ?; Impact organisationnel ?","transformation RH; projet RH; change management; digital RH",Confirmé,
